tipo,pregunta,materia,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,opcion_f,correctas,respuesta_correcta,respuesta_modelo,criterios
abierta,¿Qué es el Sistema Penal Acusatorio?,Derecho,,,,,,,,"Es un sistema adversarial, donde las partes (Fiscalía y defensa) se enfrentan en igualdad de oportunidades ante un juez imparcial, quien, con base en las pruebas y argumentos, decide si condena o absuelve. También pueden intervenir la víctima para que se le garanticen la verdad, la justicia y la reparación. Las pruebas se reciben directamente por el juez, son sometidas a debate y confrontación por las partes, lo que asegura la calidad y veracidad de la información.",,
abierta,¿Qué es el proceso penal?,Derecho,,,,,,,,"Es el mecanismo por medio del cual se investigan los delitos, y se acusa y se juzga a los presuntos responsables, cuando a ello hubiere lugar.",,
abierta,¿Cómo se inicia un proceso penal?,Derecho,,,,,,,,el momento en que la Fiscalía tiene conocimiento de una conducta que se advierte delictiva y acusa por la misma. Ese conocimiento puede ser por denuncia o querella.,,
abierta,¿Quiénes pueden denunciar?,Derecho,,,,,,,,Cualquier persona puede denunciar a la autoridad los delitos de cuya comisión tenga conocimiento y que deban investigarse de oficio.,,
abierta,¿Quiénes deben denunciar?,Derecho,,,,,,,,"Estarán obligados a denunciar dentro de las veinticuatro horas siguientes al momento en que tomaren conocimiento del hecho criminal: I. Los miembros de la policía, todos los delitos que presenciaren o llega ren a su noticia; II. Los miembros de las Fuerzas Armadas deberán denunciar todos los delitos de que tomaren conocimiento en el ejercicio o en ocasión de sus funciones; III.",,
abierta,¿En qué casos estas persona no están obligadas a denunciar?,Derecho,,,,,,,,"En todos estos casos, la denuncia deja de ser obligatoria si razonablemente las personas comprendidas en este artículo arriesgan la persecución penal propia, del cónyuge, concubina, concubinario o pariente dentro del tercer grado de consanguinidad o por adopción, o segundo de afinidad, o cuando los hechos fueron conocidos bajo secreto profesional.",,
abierta,¿Cuáles son los principios del proceso penal?,Derecho,,,,,,,,"El respeto de la dignidad humana, de la igualdad, de la imparcialidad, de la legalidad, de la presunción de inocencia, del derecho de defensa, del debido proceso, de los derechos de las víctimas y de la sociedad. Los principios de concentración, continuidad, inmediación, oralidad, lealtad, contradicción, publicidad, del juez natural y de cosa juzgada, entre otros, caracterizan al sistema acusatorio",,
abierta,¿Qué es el principio de la dignidad humana?,Derecho,,,,,,,,"Significa que todos los intervinientes en el proceso penal deben ser tratados como seres humanos y no como objetos, respetando su dignidad personal y su integridad física, psíquica y moral.",,
abierta,¿Qué es el principio de igualdad?,Derecho,,,,,,,,"Es el derecho de las personas que intervienen en el proceso penal a recibir el mismo trato y las mismas oportunidades, sin discriminación por origen étnico, religión, opinión política o filosófica.",,
abierta,¿Qué es el principio de imparcialidad?,Derecho,,,,,,,,"Es la obligación de los jueces, en el ejercicio de sus funciones de control, preclusión y juzgamiento, de orientarse por el imperativo de establecer con objetividad la verdad y la justicia. En la práctica, que los jueces mantengan un rol imparcial sobre la investigación, acusación y presentación de pruebas.",,
abierta,¿Qué es el principio de legalidad?,Derecho,,,,,,,,"Significa que nadie puede ser investigado ni juzgado sino conforme con la ley procesal vigente al momento de los hechos, observando las formalidades propias de cada juicio.",,
abierta,¿Qué es la presunción de inocencia?,Derecho,,,,,,,,Toda persona se presume inocente y debe ser tratada como tal mientras no quede en firme una decisión judicial definitiva sobre su responsabilidad.,,
abierta,¿Qué es el principio de in dubio pro reo?,Derecho,,,,,,,,"Corresponde a la Fiscalía la carga de la prueba acerca de la responsabilidad penal. Si después de valorar en conjunto y racionalmente las pruebas aportadas por las partes, el juez tiene duda sobre la conducta delictiva o la responsabilidad del acusado, deberá resolver a favor del procesado.",,
abierta,¿Cuáles son los derechos de las víctimas?,Derecho,,,,,,,,"Tener acceso a la justicia; recibir un trato humano y digno; protección de su intimidad; garantía de seguridad, de sus familiares y sus testigos; a que se haga justicia en el caso; a conocer la verdad de lo ocurrido; a la reparación de los daños sufridos; a recibir información; a intervenir directamente en algunas decisiones y recibir asistencia integral. Además, a recibir información sobre organizaciones que pueden ayudarla y el tipo de ayuda, el lugar y el modo de presentar una denuncia o querella, las actuaciones subsiguientes a su denuncia, modo y condiciones de protección, mecanismos de defensa que puede utilizar, información sobre el proceso penal y sentencia, reparación integral, derecho de intervenir en el proceso y tener un profesional del derecho que lo represente legalmente.",,
abierta,¿Qué es el principio de contradicción?,Derecho,,,,,,,,"Es el acto mediante el cual las partes (Fiscalía y defensa) tienen derecho a conocer, controvertir o confrontar las pruebas, así como a intervenir en su formación y a oponerse a las alegaciones de la otra parte o interviniente.",,
abierta,¿Qué es el principio de inmediación?,Derecho,,,,,,,,"Solamente se considera prueba aquella que ha sido practicada y producida por las partes ante el juez de juicio oral, en un juicio público, oral y contradictorio, con el fin de que el juez observe directamente el comportamiento de los testigos al declarar y que pueda valorar más objetivamente esas declaraciones.",,
abierta,¿Qué es el principio de concentración?,Derecho,,,,,,,,"Las pruebas y diligencias deben practicarse en una audiencia continua, preferiblemente el mismo día.",,
abierta,¿Qué es el principio de publicidad?,Derecho,,,,,,,,"Significa que la actuación procesal y las audiencias deben ser abiertas, con el fin de que a ellas accedan no solo las partes e intervinientes, sino también los medios de comunicación y la comunidad. Excepto en los casos en los que la Constitución y las Leyes así lo señalen.",,
abierta,¿Quiénes tienen acceso a la actuación?,Derecho,,,,,,,,"Además de los intervinientes, la comunidad en general, que incluye a los medios de comunicación.",,
abierta,¿Existen excepciones a la publicidad de las actuaciones?,Derecho,,,,,,,,"Sí. La actuación no será pública cuando el juez considere que la publicidad de los procedimientos pone en peligro a las víctimas, testigos, peritos, intervinientes; se afecte la seguridad pública; se exponga a un daño psicológico a los menores de edad; o se comprometa seriamente el éxito de la investigación.",,
abierta,¿Qué es el principio de oralidad?,Derecho,,,,,,,,"Las partes, intervinientes y testigos deben manifestarse verbalmente y en audiencia ante el juez. Generalmente, está prohibida la lectura o la entrega de memoriales.",,
abierta,¿Cómo operaba esa situación en el anterior sistema?,Derecho,,,,,,,,Se caracterizaba por la escritura. Era un sistema de actas y de constancias.,,
abierta,¿Qué ventajas tiene la oralidad?,Derecho,,,,,,,,"El juez percibe directamente las manifestaciones de los testigos e intervinientes. Esto supone un proceso mucho más ágil, directo, eficaz y eficiente.",,
abierta,¿Qué es el principio del juez natural?,Derecho,,,,,,,,Garantizar que nadie podrá ser juzgado por un juez o tribunal instituido o creado con posterioridad a la comisión de un delito por fuera de la justicia ordinaria.,,
abierta,¿Qué es el principio de cosa juzgada?,Derecho,,,,,,,,"Establece que una persona, después de que haya sido definida su situación mediante sentencia en firme, no puede ser investigada ni juzgada por los mismos hechos.",,
abierta,¿Cuál es la función esencial de la Fiscalía?,Derecho,,,,,,,,"Los fiscales investigadores ejercerán la acción penal pública en la forma establecida por la ley, dirigirán la investigación y practicarán las diligencias pertinentes y útiles para determinar la existencia del hecho punible, sin embargo, requerirá de autorización judicial cuando la naturaleza de los actos de investigación implique la restricción de los derechos fundamentales. En el cumplimiento de sus funciones, los fiscales investigadores vigilarán que la policía cumpla con los requisitos de legalidad de los actos de investigación que se lleven a cabo.",,
abierta,¿Cuál es la función esencial de los jueces del tribunal de juicio oral?,Derecho,,,,,,,,Un juzgador imparcial que escucha la evidencia presentada y confrontada en un juicio oral para decidir sobre la responsabilidad penal de los acusados. Absolver o condenar a los acusados. El Tribunal de juicio oral es el órgano jurisdiccional competente para conocer del juzgamiento.,,
abierta,¿Cuál es la función de los jueces de control?,Derecho,,,,,,,,"Un juez imparcial que garantiza los derechos del investigado, imputado, víctima y la sociedad durante las audiencias preliminares antes del juicio. Tienen dos funciones esenciales. Son los llamados a dictar medidas cautelares y, como su nombre lo indica, controlan la legalidad de las actuaciones de la Fiscalía y de la policía judicial. Quien haya actuado como juez de control no puede ser juez del Tribunal de juicio oral.",,
abierta,¿Cuándo se puede detener a una persona?,Derecho,,,,,,,,"Cuando sea sorprendida en flagrancia, en caso urgente, por orden del Ministerio Público y cuando exista orden emitida por un juez de control.",,
