materia,pregunta,respuestas,respuesta correcta
Anatomía Humana,¿Qué tipo de articulación corresponde a la trapeciometacarpiana del primer dedo de la mano?,A) Silla de montar (encaje recíproco) | B) Bicondílea | C) Esferoidea | D) En bisagra (gínglimo),A) Silla de montar (encaje recíproco)
Anatomía Humana,El nervio musculocutáneo se origina del fascículo posterior del plexo braquial.,Verdadero | Falso,Falso
Anatomía Humana,¿A qué clasificación ósea morfológica corresponden las vértebras?,A) Huesos irregulares | B) Huesos planos | C) Huesos cortos | D) Huesos sesamoideos,A) Huesos irregulares
Anatomía Humana,El plano anatómico transversal divide el cuerpo en porciones anterior y posterior.,Verdadero | Falso,Falso
Anatomía Humana,El músculo redondo mayor forma parte de los componentes del manguito rotador.,Verdadero | Falso,Falso
Anatomía Humana,El nervio ciático emerge hacia la región glútea por debajo del músculo piriforme.,Verdadero | Falso,Verdadero
Anatomía Humana,"¿Qué término de movimiento articular resulta de la combinación sucesiva de flexión, extensión, abducción y aducción?",A) Circunducción | B) Pronación | C) Rotación interna | D) Rotación externa,A) Circunducción
Anatomía Humana,¿En qué estructura ósea se encuentra la inserción distal del músculo bíceps braquial?,A) Tuberosidad supraglenoidea | B) Olécranon | C) Tuberosidad del radio | D) Tuberosidad del cúbito,C) Tuberosidad del radio
Anatomía Humana,El tronco braquiocefálico es la primera rama que emerge del arco aórtico.,Verdadero | Falso,Verdadero
Anatomía Humana,Las falanges de los dedos se clasifican morfológicamente como huesos largos.,Verdadero | Falso,Verdadero
Anatomía Humana,La arteria cubital constituye la contribución principal para la formación del arco palmar profundo.,Verdadero | Falso,Falso
Anatomía Humana,Las arterias circunflejas humerales anterior y posterior son ramas colaterales directas de la tercera porción de la arteria axilar.,Verdadero | Falso,Verdadero
Anatomía Humana,Las tres divisiones anteriores de los troncos del plexo braquial dan origen a los nervios que inervan los compartimentos anteriores (flexores) del brazo y antebrazo.,Verdadero | Falso,Verdadero
Anatomía Humana,La extensión es el movimiento anatómico que disminuye el ángulo entre dos huesos o segmentos corporales.,Verdadero | Falso,Falso
Anatomía Humana,¿Qué nervio proporciona la inervación motora principal al músculo deltoides?,A) Nervio espinal | B) Nervio supraescapular | C) Nervio axilar (circunflejo) | D) Nervio dorsal de la escápula,C) Nervio axilar (circunflejo)
Anatomía Humana,¿Qué articulación del pie separa anatómicamente el retropié del mediopié?,A) Articulación transversa del tarso (Chopart) | B) Articulación tarsometatarsiana (Lisfranc) | C) Articulación subastragalina | D) Articulación metatarsofalángica,A) Articulación transversa del tarso (Chopart)
Anatomía Humana,¿Qué región de los huesos largos contiene la placa cartilaginosa de crecimiento (fisis)?,A) Metáfisis | B) Diáfisis | C) Epífisis | D) Apófisis,A) Metáfisis
Anatomía Humana,¿Qué músculo de la pared anterior del tórax se utiliza como referencia anatómica para dividir la arteria axilar en tres porciones?,A) Pectoral mayor | B) Pectoral menor | C) Subclavio | D) Serrato anterior,B) Pectoral menor
Anatomía Humana,La articulación glenohumeral (acromiohumeral/escapulohumeral) forma parte de las cinco articulaciones que componen el complejo articular de la cintura escapular.,Verdadero | Falso,Verdadero
Anatomía Humana,¿Qué nervio inerva el compartimento anterior del brazo e inerva y atraviesa al músculo coracobraquial y braquial?,A) Nervio axilar | B) Nervio radial | C) Nervio musculocutáneo | D) Nervio subescapular,C) Nervio musculocutáneo
Anatomía Humana,La arteria braquial se inicia anatómicamente en el borde inferior del músculo redondo mayor.,Verdadero | Falso,Verdadero
Anatomía Humana,¿Cuál de los siguientes huesos forma parte del retropié?,A) Quinto metatarsiano | B) Calcáneo | C) Navicular | D) Cuboides,B) Calcáneo
Anatomía Humana,La matriz orgánica del tejido óseo está constituida en un 90% por colágeno tipo II.,Verdadero | Falso,Falso
Anatomía Humana,¿Qué músculo del manguito rotador se inserta en el tubérculo menor (troquín) del húmero?,A) Músculo supraespinoso | B) Músculo redondo menor | C) Músculo subescapular | D) Músculo infraespinoso,C) Músculo subescapular
Anatomía Humana,¿Cuáles ramos anteriores de nervios espinales conforman el plexo braquial?,A) C3 – T1 | B) C5 – T1 | C) C4 – C7 | D) T1 – T5,
Anatomía Humana,"En el tercio superior del brazo y hombro, la vena cefálica discurre por el surco deltopectoral (entre el músculo deltoides y el pectoral mayor).",Verdadero | Falso,Verdadero
Anatomía Humana,"El ilion, el isquion y el pubis convergen para formar la fosa del acetábulo del hueso coxal.",Verdadero | Falso,Verdadero
Anatomía Humana,El peroné (fíbula) participa directamente en la conformación de la articulación del tobillo (talocrural) mediante el maléolo lateral.,Verdadero | Falso,Verdadero
Anatomía Humana,¿Cuáles son las ramas terminales del tronco braquiocefálico?,A) Arteria subclavia derecha y arteria carótida común derecha | B) Arteria subclavia izquierda y arteria carótida común derecha | C) Arteria subclavia izquierda y arteria carótida común izquierda | D) Arteria subclavia derecha y arterias coronarias,A) Arteria subclavia derecha y arteria carótida común derecha
Anatomía Humana,¿Qué par craneal proporciona la inervación motora a los músculos esternocleidomastoideo y trapecio?,A) XI - Nervio accesorio | B) X - Nervio vago | C) XII - Nervio hipogloso | D) IX - Nervio glosofaríngeo,A) XI - Nervio accesorio
Anatomía Humana,¿Qué músculo extrínseco del globo ocular está inervado por el nervio troclear (IV par craneal)?,A) Músculo oblicuo superior | B) Músculo recto superior | C) Músculo oblicuo inferior | D) Músculo elevador del párpado superior,A) Músculo oblicuo superior
Anatomía Humana,¿Cuáles son los tres ramos principales del nervio trigémino (V par craneal)?,"A) Oftálmico (V1), maxilar (V2) y frontal | B) Oftálmico (V1), ótico y frontal | C) Oftálmico (V1), maxilar (V2) y mandibular (V3) | D) Maxilar (V2), mandibular (V3) y ótico","C) Oftálmico (V1), maxilar (V2) y mandibular (V3)"
Anatomía Humana,¿Qué nervio proporciona la inervación motora al músculo orbicular del ojo?,A) Nervio facial (VII par) | B) Nervio abducens (VI par) | C) Ramo oftálmico del trigémino (V1) | D) Nervio óptico (II par),A) Nervio facial (VII par)
Anatomía Humana,¿A través de qué orificio de la base del cráneo atraviesa la arteria oftálmica para ingresar a la órbita?,A) Foramen yugular | B) Foramen redondo | C) Conducto óptico | D) Foramen rasgado,C) Conducto óptico
Anatomía Humana,¿Cuál es la tercera rama principal que se origina del arco aórtico?,A) Arteria carótida común izquierda | B) Arteria subclavia izquierda | C) Arteria carótida común derecha | D) Arteria subclavia derecha,B) Arteria subclavia izquierda
Anatomía Humana,Los axones de las células olfatorias que forman el nervio olfatorio (I par) atraviesan los forámenes de la lámina cribosa del hueso etmoides.,Verdadero | Falso,Verdadero
Anatomía Humana,¿De qué estructura vascular emergen directamente las arterias pulmonares derecha e izquierda?,A) Tronco braquiocefálico | B) Aorta ascendente | C) Arterias bronquiales | D) Tronco pulmonar,D) Tronco pulmonar
Anatomía Humana,¿Qué músculo de la pared torácica anterior se inserta en el proceso coracoides de la escápula?,A) Pectoral mayor | B) Esternocleidomastoideo | C) Subclavio | D) Pectoral menor,D) Pectoral menor
Anatomía Humana,¿Qué músculo extrínseco del ojo es el principal responsable de la abducción ocular (mirada lateral)?,A) Músculo recto medial | B) Músculo oblicuo medial | C) Músculo recto lateral | D) Músculo oblicuo lateral,C) Músculo recto lateral
Anatomía Humana,El conducto torácico constituye el vaso linfático de mayor calibre y longitud del organismo.,Verdadero | Falso,Verdadero
Anatomía Humana,El segundo par craneal corresponde al nervio óptico.,Verdadero | Falso,Verdadero
Anatomía Humana,¿A qué hueso del neurocráneo pertenece la lámina cribosa?,A) Etmoides | B) Palatino | C) Esfenoides | D) Nasal,A) Etmoides
Anatomía Humana,El hueso esfenoides participa en la formación de las paredes de la cavidad orbitaria.,Verdadero | Falso,Verdadero
Anatomía Humana,¿Cuál de los siguientes huesos NO participa en la conformación de la órbita ósea?,A) Cigomático | B) Frontal | C) Parietal | D) Lagrimal,C) Parietal
Anatomía Humana,La pared posterior membranosa de la tráquea está constituida principalmente por músculo esquelético estriado.,Verdadero | Falso,Falso
Anatomía Humana,Aproximadamente el 75% del drenaje linfático de la glándula mamaria se dirige hacia los ganglios linfáticos axilares.,Verdadero | Falso,Verdadero
Anatomía Humana,La base del estribo encaja y se fija en el borde de la ventana oval (vestibular) del oído interno.,Verdadero | Falso,Verdadero
Anatomía Humana,"La conducción de estructuras vasculares, respiratorias y digestivas entre el cuello y el abdomen constituye una función anatómica del tórax.",Verdadero | Falso,Verdadero
Anatomía Humana,¿Qué arterias proporcionan la vascularización nutricia directa al parénquima pulmonar y bronquios?,A) Arteria torácica interna | B) Tronco pulmonar | C) Arteria subclavia | D) Arterias bronquiales,D) Arterias bronquiales
Anatomía Humana,"Anatómicamente, la arteria pulmonar derecha tiene una trayectoria más larga que la arteria pulmonar izquierda.",Verdadero | Falso,Verdadero
Anatomía Humana,Las arterias vertebrales derecha e izquierda convergen en la superficie anterior del tronco del encéfalo para formar la arteria basilar.,Verdadero | Falso,Verdadero
Anatomía Humana,El músculo diafragma ocluye y constituye el límite de la abertura torácica inferior.,Verdadero | Falso,Verdadero
Anatomía Humana,El ventrículo derecho forma la mayor parte de la cara anterior (esternocostal) del corazón y la mayor porción de la superficie diafragmática.,Verdadero | Falso,Falso
Anatomía Humana,¿Qué nervio craneal emerge del cráneo a través del foramen estilomastoideo?,A) Arteria oftálmica | B) Nervio trigémino | C) Nervio facial (VII par) | D) Nervio hipogloso (XII par),C) Nervio facial (VII par)
Anatomía Humana,"La vena cava superior, la vena cava inferior y el seno coronario desembocan conjuntamente en la aurícula izquierda.",Verdadero | Falso,Falso
Anatomía Humana,¿A través de qué gran orificio de la base del cráneo pasa la médula espinal para continuar con el tallo encefálico?,A) Foramen espinoso | B) Foramen oval | C) Foramen magno (agujero occipital) | D) Foramen yugular,C) Foramen magno (agujero occipital)
Anatomía Humana,¿Qué componente del sistema de conducción cardíaco se considera el marcapasos fisiológico principal del corazón?,A) Nódulo auriculoventricular | B) Haz de His | C) Fibras de Purkinje | D) Nódulo sinoauricular,D) Nódulo sinoauricular
Anatomía Humana,¿Qué par craneal inerva el músculo recto lateral del ojo?,A) III - Oculomotor | B) Nervio ciático | C) IV - Troclear | D) VI - Abducens,D) VI - Abducens
Anatomía Humana,¿Cuál es la segunda rama colateral en originarse de la arteria carótida externa?,A) Arteria tiroidea superior | B) Arteria faríngea ascendente | C) Arteria occipital | D) Arteria temporal superficial,B) Arteria faríngea ascendente
Anatomía Humana,El músculo palatofaríngeo recibe su inervación motora a través del ramo faríngeo del nervio vago (a través del plexo faríngeo).,Verdadero | Falso,Verdadero
Anatomía Humana,¿Qué cubierta o túnica del testículo deriva de una evaginación de la serosa peritoneal abdominal?,A) Fascia espermática interna | B) Túnica albugínea | C) Fascia espermática externa | D) Túnica vaginal,D) Túnica vaginal
Anatomía Humana,El tronco tirocervical se origina directamente de la arteria carótida común.,Verdadero | Falso,Falso
Anatomía Humana,"En su descenso hacia la pelvis, ¿anterior a la bifurcación de qué vaso arterial cruzan los uréteres?",A) Arteria ilíaca común | B) Arteria glútea superior | C) Arteria renal | D) Arteria epigástrica inferior,A) Arteria ilíaca común
Anatomía Humana,¿En qué órgano tubular del sistema reproductor masculino adquieren los espermatozoides su motilidad y capacidad funcional fecundante?,A) Epidídimo | B) Conducto deferente | C) Próstata | D) Túbulos seminíferos,A) Epidídimo
Anatomía Humana,El origen anatómico anterior del músculo constrictor superior de la faringe es el rafe medio posterior laríngeo.,Verdadero | Falso,Falso
Anatomía Humana,¿Qué glándula accesoria del aparato reproductor masculino rodea la primera porción de la uretra?,A) Glándula bulbouretral | B) Próstata | C) Glándula pituitaria | D) Vesícula seminal,B) Próstata
Anatomía Humana,¿Cuál es la longitud aproximada promedio de la uretra masculina en el adulto?,A) 18 - 20 cm | B) 12 - 14 cm | C) 4 - 6 cm | D) 25 - 30 cm,A) 18 - 20 cm
Anatomía Humana,¿Cuál es la primera rama colateral que emerge de la arteria carótida externa?,A) Arteria facial | B) Arteria tiroidea inferior | C) Arteria lingual | D) Arteria tiroidea superior,D) Arteria tiroidea superior
Anatomía Humana,El músculo coccígeo (isquiococcígeo) tiene su origen en la espina isquiática y en el ligamento sacroespinoso.,Verdadero | Falso,Verdadero
Anatomía Humana,El músculo compresor de la uretra es una estructura anatómica exclusiva del sexo masculino.,Verdadero | Falso,Falso
Anatomía Humana,¿Cuál es la longitud promedio de la uretra femenina en la persona adulta?,A) Aproximadamente 4 cm | B) Aproximadamente 10 cm | C) Aproximadamente 2 cm | D) Aproximadamente 8 cm,A) Aproximadamente 4 cm
Anatomía Humana,El músculo elevador del ano es el componente muscular principal del diafragma pélvico.,Verdadero | Falso,Verdadero
Anatomía Humana,El nervio mandibular (ramo V3 del nervio trigémino) proporciona la inervación motora al músculo tensor del velo del paladar.,Verdadero | Falso,Verdadero
Anatomía Humana,La arteria lingual es una de las ramas colaterales directas de la arteria carótida interna.,Verdadero | Falso,Falso
Anatomía Humana,El nervio facial (VII par craneal) proporciona la inervación motora al músculo estilohioideo.,Verdadero | Falso,Verdadero
Anatomía Humana,El platisma es el músculo cutáneo más superficial de la región anterior y anterolateral del cuello.,Verdadero | Falso,Verdadero
Anatomía Humana,El techo de la fosa infratemporal está formado por la cara infratemporal del ala mayor del esfenoides y la porción escamosa del hueso temporal.,Verdadero | Falso,Verdadero
Anatomía Humana,¿Cuál de las siguientes porciones del intestino grueso se ubica anatómicamente en la cavidad pélvica?,A) Colon sigmoides y recto | B) Colon transverso | C) Ciego | D) Colon descendente,A) Colon sigmoides y recto
Anatomía Humana,El nervio hipogloso (XII par craneal) abandona el cráneo a través del conducto del hipogloso en el hueso occipital.,Verdadero | Falso,Verdadero
Anatomía Humana,El nervio mandibular (V3) es el ramo de mayor calibre de las tres ramas del nervio trigémino.,Verdadero | Falso,Verdadero
Anatomía Humana,La arteria carótida común derecha se origina de forma directa en el tronco braquiocefálico.,Verdadero | Falso,Verdadero
Anatomía Humana,El nervio alveolar inferior proporciona la inervación sensitiva para las piezas dentarias inferiores de la mandíbula.,Verdadero | Falso,Verdadero
Anatomía Humana,La lámina cribosa es un elemento anatómico del hueso etmoides.,Verdadero | Falso,Verdadero
Anatomía Humana,¿En qué órgano del aparato reproductor femenino tiene lugar la ovogénesis y liberación de ovocitos?,A) Ovarios | B) Fimbrias tubáricas | C) Útero | D) Glándula suprarrenal,A) Ovarios
Anatomía Humana,El músculo esternocleidomastoideo divide la región lateral del cuello en los triángulos anterior y posterior.,Verdadero | Falso,Verdadero
Anatomía Humana,¿Cuál es la víscera pélvica situada en posición más anterior dentro de la cavidad pélvica menor?,A) Útero | B) Recto | C) Vejiga urinaria | D) Vagina,C) Vejiga urinaria
Anatomía Humana,El vientre posterior del músculo digástrico se origina en la fosa digástrica de la mandíbula.,Verdadero | Falso,Falso
Anatomía Humana,La arteria tiroidea inferior es una rama directa del tronco tirocervical.,Verdadero | Falso,Verdadero
Anatomía Humana,"En su trayecto normal, el nervio ciático discurre por la cara posterior del músculo piriforme.",Verdadero | Falso,Falso
Anatomía Humana,La vena suprarrenal derecha desemboca directamente en la vena renal derecha.,Verdadero | Falso,Falso
Anatomía Humana,¿Cuál de los siguientes órganos abdominales está ubicado en el espacio retroperitoneal primario?,A) Estómago | B) Vesícula biliar | C) Ciego | D) Riñones,D) Riñones
Anatomía Humana,¿Con qué porción del estómago se continúa anatómicamente el extremo distal del esófago?,A) Cardias | B) Cuerpo gástrico | C) Canal pilórico | D) Fundus gástrico,A) Cardias
Anatomía Humana,La arteria esplénica es una de las tres ramas terminales del tronco celíaco.,Verdadero | Falso,Verdadero
Anatomía Humana,La arteria hepática común se origina directamente de la arteria mesentérica superior.,Verdadero | Falso,Falso
Anatomía Humana,¿Qué conducto biliar transporta la bilis directamente desde y hacia la vesícula biliar?,A) Conducto colédoco | B) Conducto hepático común | C) Conducto hepático izquierdo | D) Conducto cístico,D) Conducto cístico
Anatomía Humana,El músculo glúteo menor recibe su inervación motora a través del nervio glúteo inferior.,Verdadero | Falso,Falso
Anatomía Humana,El nervio ciático proporciona directamente la sensibilidad cutánea de la cara medial de la pierna.,Verdadero | Falso,Falso
Anatomía Humana,¿En qué cuadrante de la división topográfica del abdomen por nueve regiones se proyecta la vesícula biliar?,A) Hipocondrio derecho | B) Flanco derecho | C) Fosa ilíaca derecha | D) Hipocondrio izquierdo,A) Hipocondrio derecho
Anatomía Humana,¿De qué vaso arterial se originan directamente las arterias testiculares (o ováricas)?,A) Arteria ilíaca interna | B) Aorta abdominal | C) Arterias renales | D) Arteria ilíaca común,B) Aorta abdominal
Anatomía Humana,Las arterias renales dan origen a las arterias suprarrenales inferiores.,Verdadero | Falso,Verdadero
Anatomía Humana,"El nervio pudendo se origina de los ramos anteriores de los nervios espinales sacros (plexo sacro, S2-S4).",Verdadero | Falso,Verdadero
Anatomía Humana,¿Cuál es la rama colateral impar más distal que emerge de la aorta abdominal?,A) Arteria mesentérica superior | B) Tronco celíaco | C) Arterias testiculares | D) Arteria mesentérica inferior,D) Arteria mesentérica inferior
Anatomía Humana,La estimulación de las fibras nerviosas parasimpáticas produce la contracción del músculo detrusor vesical.,Verdadero | Falso,Verdadero
Anatomía Humana,La arteria obturatriz irriga los músculos del compartimento medial (aductores) del muslo.,Verdadero | Falso,Verdadero
Anatomía Humana,¿Qué arteria discurre a lo largo de la curvatura menor del estómago anastomosándose con la gástrica derecha?,A) Arteria gástrica izquierda | B) Arteria gastroomental izquierda | C) Arteria gastroomental derecha | D) Arterias pancreatoduodenales superiores,A) Arteria gástrica izquierda
Anatomía Humana,¿De qué vaso o tronco arterial es rama directa la arteria esplénica?,A) Tronco celíaco | B) Arteria mesentérica superior | C) Aorta abdominal | D) Arteria mesentérica inferior,A) Tronco celíaco
Anatomía Humana,La vena cava inferior se forma a nivel vertebral de T8 por la confluencia de las dos venas ilíacas comunes.,Verdadero | Falso,Falso
Anatomía Humana,El nervio pudendo proporciona inervación motora al esfínter externo de la uretra y al esfínter externo del ano.,Verdadero | Falso,Verdadero
Anatomía Humana,El músculo recto del abdomen se inserta inferiormente en la cresta del pubis y la sínfisis púbica.,Verdadero | Falso,Verdadero
Anatomía Humana,El sistema nervioso entérico (plexos mientérico y submucoso) es el principal modulador intrínseco de la motilidad y peristalsis del tracto digestivo.,Verdadero | Falso,Verdadero
Anatomía Humana,La arteria cística se origina habitualmente como rama de la arteria hepática derecha.,Verdadero | Falso,Verdadero
Anatomía Humana,El nervio pudendo sale de la pelvis hacia la región glútea a través del foramen ciático mayor.,Verdadero | Falso,Verdadero
Anatomía Humana,El bazo se ubica anatómicamente en el hipocondrio izquierdo.,Verdadero | Falso,Verdadero
Anatomía Humana,Las fibras inferiores del músculo oblicuo externo del abdomen se insertan en el labio externo de la cresta ilíaca.,Verdadero | Falso,Verdadero
Anatomía Humana,"A nivel vertebral de T8, la vena cava inferior atraviesa el diafragma a través del foramen de la vena cava en el centro tendinoso.",Verdadero | Falso,Verdadero
