tipo,pregunta,materia,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,opcion_f,correctas,respuesta_correcta,respuesta_modelo,criterios
opcion_multiple,¿Cuáles son las fases de la evolución de la teoría del delito?,Derecho,Teorías analista y lógico matemáticas,Teorías clásica y neoclásicas,"Teorías clásica, neoclásica, analista y lógico matemática",Teorías evolutiva y analista,,,c,"Teorías clásica, neoclásica, analista y lógico matemática",,
opcion_multiple,"Se configura cuando el sujeto activo del delito obra por la necesidad de salvaguardar un bien jurídico propio o ajeno, de un peligro real, actual o inminente, no ocasionado dolosamente por el sujeto, lesionando otro bien de igual valor que el salvaguardado, siempre que el peligro no sea evitable por otros medios y el agente no tuviere el deber jurídico de afrontarlo:",Derecho,Acción libre en su causa,Estado de necesidad exculpante,Error de tipo,Delito continuado,,,b,Estado de necesidad exculpante,,
opcion_multiple,Máximo exponente de la doctrina penal italiana y representante de la Escuela Clásica:,Derecho,Francisco Carrara,Luis Jiménez de Asúa,Franz Von Liszt,Ernst Von Beling,,,a,Francisco Carrara,,
opcion_multiple,Individuo que se encuentra impedido de comprender el carácter ilícito del hecho que cometió:,Derecho,Inculpabilidad,Inimputable,Error de tipo,Culpabilidad,,,b,Inimputable,,
opcion_multiple,Extingue la acción penal por el simple transcurso del tiempo señalado por el Código Penal:,Derecho,Preclusión,Caducidad,Extemporaneidad,Prescripción,,,d,Prescripción,,
opcion_multiple,"Quien produce el resultado típico que no previó, siendo previsible o previó confiando en que no se produciría, en virtud de la violación de un deber de cuidado que objetivamente era necesario observar:",Derecho,Error de tipo,Acción culposa,Acción dolosa,Desconocimiento de la ley,,,b,Acción culposa,,
opcion_multiple,Es el elemento del delito que consiste en el encuadramiento de la conducta al tipo penal:,Derecho,Tipo,Tipicidad,Antijuricidad,Bienes jurídicos tutelados,,,b,Tipicidad,,
opcion_multiple,Contradicción entre la conducta humana y la prohibición o mandato contenido en la ley penal:,Derecho,Punible,Culpa,Atipicidad,Antijuricidad,,,d,Antijuricidad,,
opcion_multiple,La interpretación histórica se refiere a que debe entenderse con base en:,Derecho,"El momento en que se originó, el por qué y para qué se creó",A los hechos históricos,Los resultados de investigaciones legislativas,La interpretación del sujeto activo,,,a,"El momento en que se originó, el por qué y para qué se creó",,
opcion_multiple,"La culpabilidad surge como un proceso o nexo psicológico que une al sujeto activo con el hecho y sus especies eran el dolo y la culpa, esto está establecido en cuál teoría:",Derecho,Teoría Final,Teoría Clásica,Teoría Neoclásica,Teoría Lógico matemática,,,b,Teoría Clásica,,
opcion_multiple,"Situación de conflicto entre dos tipos penales que prevén el mismo supuesto de hecho, el juzgador estará en posibilidades de aplicar cualquiera de ellas, inclinándose por la de mayor entidad punitiva, ¿de qué principio se trata?",Derecho,Principio de especialidad,Principio de consunción,Principio de alternatividad,Principio de subsidiariedad,,,c,Principio de alternatividad,,
opcion_multiple,"Son aquellas circunstancias materiales, humanas o anímicas, que son necesarias para que el hecho delictivo sea punible, y por lo mismo, que pueden traer o no como consecuencia directa un perjuicio o daño:",Derecho,Condiciones Objetivas de Punibilidad que aumentan la pena,Condiciones Objetivas para la existencia de la Punibilidad,Condiciones objetivas de punibilidad que disminuyen la pena,Condiciones Objetivas para la existencia de la Punibilidad,,,b,Condiciones Objetivas para la existencia de la Punibilidad,,
opcion_multiple,¿En los delitos en general cuál es el aspecto que diferencia a los de acción y a los de omisión?,Derecho,La voluntad activa,Que el sujeto esté accidentalmente en el lugar,La falta de conciencia,La omisión del acto,,,a,La voluntad activa,,
opcion_multiple,"El agente realiza una conducta diversa a la jurídicamente ordenada por la norma, con independencia del resultado material que se produzca, ¿qué delito es?",Derecho,Comisión por omisión,Acción,Instantáneo,Omisión simple,,,d,Omisión simple,,
opcion_multiple,"Modelo lógico: Nivel del lenguaje en el que se sitúan las normas penales generales y abstractas creadas por el legislador, integradas con un tipo penal y una punibilidad, si se trata de sujetos imputables o de un tipo de descripción legal de medidas de seguridad, si se trata de inimputables:",Derecho,Nivel normativo particular y concreto,Nivel fáctico particular y concreto,Nivel prejurídico,Nivel normativo general y abstracto,,,d,Nivel normativo general y abstracto,,
opcion_multiple,¿En nuestra legislación actual es sancionado el delito imposible?,Derecho,No,Sí,Según a criterio del Juez,Solo si se configura el delito,,,a,No,,
opcion_multiple,"En la tentativa cuando la resolución de cometer un delito se exterioriza realizando, en parte o totalmente, los actos ejecutivos que deberían producir el resultado, u omitiendo los que deberían evitarlo, si por causas ajenas a la voluntad del sujeto activo no se llega a la consumación, pero se pone en peligro el bien jurídico tutelado:",Derecho,No es punible,Es una excusa absolutoria,Es punible,Es exclusión del delito,,,c,Es punible,,
opcion_multiple,"En los delitos de autoría y participación, ¿cuáles son aquellos que acuerdan o preparan la realización del delito?",Derecho,Coautoría,Material,Intelectual,Mediatos,,,c,Intelectual,,
opcion_multiple,¿Cómo se adquiere la capacidad jurídica de las personas físicas y cómo se pierde?,Derecho,Al nacimiento y nunca se pierde,Se pierde por estar en estado de interdicción,Se adquiere por nacimiento y se pierde con la muerte,Se adquiere a los 18 años y se pierde con la muerte,,,c,Se adquiere por nacimiento y se pierde con la muerte,,
opcion_multiple,"Franz von Liszt señala “mal que el juez inflige al delincuente a causa de su delito, para expresar la reprobación social con respecto al actor y autor”, ¿se le considera como?",Derecho,penas,delito,culpa,Dolo,,,a,penas,,
