tipo,materia,pregunta,respuesta_modelo,criterios
abierta,Derecho,¿Cuáles son las fases de la evolución de la teoría del delito?,"La evolución de la teoría del delito comprende las fases clásica, neoclásica, finalista y funcionalista, cada una con enfoques distintos sobre la estructura del delito.","[""Menciona las cuatro fases principales"",""Ordena cronológicamente las fases"",""Describe brevemente el enfoque de cada fase""]"
abierta,Derecho,"Se configura cuando el sujeto activo del delito obra por la necesidad de salvaguardar un bien jurídico propio o ajeno, de un peligro real, actual o inminente, no ocasionado dolosamente por el sujeto, lesionando otro bien de igual valor que el salvaguardado, siempre que el peligro no sea evitable por otros medios y el agente no tuviere el deber jurídico de afrontarlo:","El estado de necesidad exculpante se configura cuando, ante un peligro real e inminente para un bien jurídico propio o ajeno, se lesiona otro bien de igual o menor valor para salvaguardarlo, siempre que no exista deber jurídico de soportar el peligro y no sea evitable por otros medios.","[""Define el estado de necesidad exculpante"",""Incluye los requisitos: peligro real, actual o inminente"",""Menciona la ausencia de deber jurídico de afrontarlo""]"
abierta,Derecho,Máximo exponente de la doctrina penal italiana y representante de la Escuela Clásica:,"Francisco Carrara es considerado el máximo exponente de la Escuela Clásica del derecho penal italiano, destacando por su obra 'Programa de Derecho Criminal'.","[""Identifica a Francisco Carrara como máximo exponente"",""Menciona su pertenencia a la Escuela Clásica"",""Reconoce su contribución al derecho penal""]"
abierta,Derecho,Individuo que se encuentra impedido de comprender el carácter ilícito del hecho que cometió:,"El inimputable es aquel individuo que, al momento de cometer el hecho, carece de la capacidad de comprender su carácter ilícito debido a causas como trastornos mentales o desarrollo intelectual insuficiente.","[""Define al inimputable"",""Explica la falta de comprensión del carácter ilícito"",""Menciona causas de inimputabilidad""]"
abierta,Derecho,Extingue la acción penal por el simple transcurso del tiempo señalado por el Código Penal:,"La prescripción es una causa de extinción de la acción penal que opera por el simple transcurso del tiempo señalado en el Código Penal, sin necesidad de otra condición.","[""Define la prescripción"",""Menciona que extingue la acción penal"",""Indica que opera por el transcurso del tiempo""]"
abierta,Derecho,"Quien produce el resultado típico que no previó, siendo previsible o previó confiando en que no se produciría, en virtud de la violación de un deber de cuidado que objetivamente era necesario observar:","La acción culposa se configura cuando el sujeto produce un resultado típico sin intención, pero por violación de un deber de cuidado objetivo, ya sea por imprudencia, negligencia o impericia, previendo o no el resultado.","[""Define la acción culposa"",""Menciona la violación del deber de cuidado"",""Explica la falta de previsión o confianza en que no ocurriera""]"
abierta,Derecho,Es el elemento del delito que consiste en el encuadramiento de la conducta al tipo penal:,"La tipicidad es el elemento del delito que consiste en el encuadramiento de la conducta humana en el tipo penal descrito por la ley, es decir, la adecuación de la conducta al supuesto legal.","[""Define la tipicidad"",""Menciona el encuadramiento de la conducta al tipo penal"",""Explica su función dentro de la teoría del delito""]"
abierta,Derecho,Contradicción entre la conducta humana y la prohibición o mandato contenido en la ley penal:,"La antijuricidad es la contradicción entre la conducta humana y la prohibición o mandato contenido en la ley penal, es decir, la contrariedad al ordenamiento jurídico.","[""Define la antijuricidad"",""Menciona la contradicción con la ley penal"",""Explica su relación con el ordenamiento jurídico""]"
abierta,Derecho,La interpretación histórica se refiere a que debe entenderse con base en:,"La interpretación histórica de la ley penal se basa en el contexto de su origen, es decir, el momento en que se creó, las razones que la motivaron y los fines que perseguía.","[""Define la interpretación histórica"",""Menciona el momento de origen"",""Explica el porqué y para qué se creó""]"
abierta,Derecho,"La culpabilidad surge como un proceso o nexo psicológico que une al sujeto activo con el hecho y sus especies eran el dolo y la culpa, esto está establecido en cuál teoría:","La teoría clásica del delito establece que la culpabilidad es un proceso psicológico que une al sujeto con el hecho, y sus especies son el dolo y la culpa.","[""Identifica la teoría clásica"",""Menciona la culpabilidad como nexo psicológico"",""Enumera las especies: dolo y culpa""]"
abierta,Derecho,"Situación de conflicto entre dos tipos penales que prevén el mismo supuesto de hecho, el juzgador estará en posibilidades de aplicar cualquiera de ellas, inclinándose por la de mayor entidad punitiva, ¿de qué principio se trata?","Se trata del principio de alternatividad, que permite al juzgador aplicar cualquiera de las normas penales que regulan el mismo supuesto, optando por la de mayor punibilidad.","[""Identifica correctamente el principio de alternatividad"",""Explica que se aplica cuando hay concurso de tipos penales"",""Menciona que se elige la sanción más grave""]"
abierta,Derecho,"Son aquellas circunstancias materiales, humanas o anímicas, que son necesarias para que el hecho delictivo sea punible, y por lo mismo, que pueden traer o no como consecuencia directa un perjuicio o daño:","Son las condiciones objetivas de punibilidad, que son requisitos externos que condicionan la aplicación de la pena, sin ser elementos del delito.","[""Reconoce el concepto de condiciones objetivas de punibilidad"",""Diferencia entre condiciones de punibilidad y elementos del delito"",""Explica que son circunstancias necesarias para la punibilidad""]"
abierta,Derecho,¿En los delitos en general cuál es el aspecto que diferencia a los de acción y a los de omisión?,"La diferencia radica en que en los delitos de acción se realiza una conducta activa que viola la norma prohibitiva, mientras que en los de omisión se incumple un mandato de actuar, es decir, la voluntad activa se manifiesta en la acción, no en la omisión.","[""Distingue entre acción y omisión"",""Explica que en la acción hay una conducta activa"",""Menciona que en la omisión se incumple un deber de actuar""]"
abierta,Derecho,"El agente realiza una conducta diversa a la jurídicamente ordenada por la norma, con independencia del resultado material que se produzca, ¿qué delito es?","Se trata de la omisión simple, donde el agente no realiza la conducta ordenada por la norma, sin que se requiera un resultado material específico.","[""Identifica la omisión simple"",""Explica que no se exige resultado material"",""Diferencia de la comisión por omisión""]"
abierta,Derecho,"Modelo lógico: Nivel del lenguaje en el que se sitúan las normas penales generales y abstractas creadas por el legislador, integradas con un tipo penal y una punibilidad, si se trata de sujetos imputables o de un tipo de descripción legal de medidas de seguridad, si se trata de inimputables:","Es el nivel normativo general y abstracto, donde se ubican las normas penales que describen tipos y penas o medidas de seguridad, aplicables a sujetos imputables o inimputables.","[""Reconoce el nivel normativo general y abstracto"",""Explica que contiene tipos penales y punibilidades"",""Menciona que se aplica a imputables e inimputables""]"
abierta,Derecho,¿En nuestra legislación actual es sancionado el delito imposible?,"No, en la legislación mexicana actual el delito imposible no es sancionado, ya que no se pone en peligro el bien jurídico tutelado.","[""Responde correctamente que no es sancionado"",""Explica la razón: no hay peligro para el bien jurídico"",""Menciona la base legal o doctrinal""]"
abierta,Derecho,"En la tentativa cuando la resolución de cometer un delito se exterioriza realizando, en parte o totalmente, los actos ejecutivos que deberían producir el resultado, u omitiendo los que deberían evitarlo, si por causas ajenas a la voluntad del sujeto activo no se llega a la consumación, pero se pone en peligro el bien jurídico tutelado:","La tentativa es punible cuando se realizan actos ejecutivos que deberían producir el resultado, pero no se consuma por causas ajenas a la voluntad del sujeto, siempre que se ponga en peligro el bien jurídico.","[""Define la tentativa"",""Explica que es punible"",""Menciona los requisitos: actos ejecutivos, falta de consumación y peligro al bien jurídico""]"
abierta,Derecho,"En los delitos de autoría y participación, ¿cuáles son aquellos que acuerdan o preparan la realización del delito?","Son los autores intelectuales, quienes acuerdan o preparan la realización del delito, sin ejecutarlo materialmente.","[""Identifica a los autores intelectuales"",""Explica que acuerdan o preparan el delito"",""Diferencia de los autores materiales""]"
abierta,Derecho,¿Cómo se adquiere la capacidad jurídica de las personas físicas y cómo se pierde?,La capacidad jurídica de las personas físicas se adquiere con el nacimiento y se pierde con la muerte.,"[""Responde correctamente que se adquiere por nacimiento"",""Indica que se pierde con la muerte"",""Explica el concepto de capacidad jurídica""]"
abierta,Derecho,"Franz von Liszt señala “mal que el juez inflige al delincuente a causa de su delito, para expresar la reprobación social con respecto al actor y autor”, ¿se le considera como?","Se refiere a la pena, que es el mal que el juez impone al delincuente como reprobación social por su delito.","[""Identifica que se trata de la pena"",""Explica la definición de Franz von Liszt"",""Menciona que es una sanción impuesta por el juez""]"
