tipo,pregunta,materia,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,opcion_f,correctas,respuesta_correcta,respuesta_modelo,criterios
opcion_unica,¿Cuál es la definición de Derecho Administrativo?,Derecho,Es la rama del derecho privado que regula los contratos entre el Estado y los ciudadanos.,Es el conjunto de normas que regulan la organización del Poder Judicial y su función jurisdiccional.,"Es el conjunto de normas jurídicas que regulan la actividad del Estado en su función administrativa, como rama del derecho público.",Es el conjunto de normas que regulan las relaciones entre particulares y el Estado en materia civil.,,,2,"Es el conjunto de normas jurídicas que regulan la actividad del Estado en su función administrativa, como rama del derecho público.","La definición correcta se basa en que el Derecho Administrativo regula la función administrativa del Estado, como rama del derecho público.",
opcion_unica,¿Dónde y cuándo surge el Derecho Administrativo?,Derecho,"Surge en México en el siglo XX, con la Constitución de 1917.","Surge en Alemania en el siglo XIX, con el concepto de Estado de derecho.","Surge en Francia en el siglo XIX, con los primeros conceptos de servicio público y ciencia social.","Surge en Inglaterra en el siglo XVIII, con la Revolución Industrial.",,,2,"Surge en Francia en el siglo XIX, con los primeros conceptos de servicio público y ciencia social.","El Derecho Administrativo moderno se origina en Francia durante el siglo XIX, asociado a la noción de servicio público.",
opcion_unica,¿Cuáles son las fuentes del Derecho Administrativo?,Derecho,Solo los tratados internacionales y los reglamentos.,Solo la Constitución y las leyes federales.,"La Constitución, leyes federales y locales, tratados internacionales, reglamentos, jurisprudencia, doctrina, usos y costumbres, e ideas político-sociales.",Solo la jurisprudencia y la doctrina.,,,2,"La Constitución, leyes federales y locales, tratados internacionales, reglamentos, jurisprudencia, doctrina, usos y costumbres, e ideas político-sociales.","Las fuentes del Derecho Administrativo son diversas, incluyendo normas escritas, costumbres, jurisprudencia y doctrina.",
opcion_unica,¿Qué regula el Derecho Administrativo?,Derecho,"La estructura y organización del Poder Ejecutivo, sus medios patrimoniales y financieros, el ejercicio de la función administrativa y la situación de los particulares frente a la administración.",Solo la organización del Poder Judicial y sus procedimientos.,Solo las relaciones entre particulares en materia contractual.,Solo la actividad legislativa del Congreso.,,,0,"La estructura y organización del Poder Ejecutivo, sus medios patrimoniales y financieros, el ejercicio de la función administrativa y la situación de los particulares frente a la administración.","El Derecho Administrativo regula la organización y actividad de la administración pública, así como sus relaciones con los particulares.",
opcion_unica,¿Qué es el Estado de Derecho?,Derecho,"Es aquel en el que el gobernante actúa sin sujeción a normas, según su voluntad.",Es aquel en el que el poder se ejerce de facto sin reconocimiento legal.,Es aquel en el que solo se aplican las normas religiosas.,"Es aquel cuyo poder se encuentra determinado por preceptos legales, de modo que no puede exigir acciones u omisiones sin fundamento en una norma jurídica prestablecida.",,,3,"Es aquel cuyo poder se encuentra determinado por preceptos legales, de modo que no puede exigir acciones u omisiones sin fundamento en una norma jurídica prestablecida.",El Estado de Derecho se caracteriza por la sujeción del poder a normas jurídicas preestablecidas.,
opcion_unica,La actitud del Estado de resolver casos individuales sin sujeción a las normas generales de derecho constituye la definición clásica de:,Derecho,Democracia,Autocracia,Estado de derecho,Despotismo,,,3,Despotismo,"El despotismo se define como el ejercicio del poder sin sujeción a normas generales, resolviendo arbitrariamente.",
opcion_unica,¿Cómo está constituido el Estado de Derecho en México y cuál es su forma de gobierno?,Derecho,Mediante un gobierno oligárquico.,Mediante un gobierno democrático.,Mediante una monarquía constitucional.,Mediante un gobierno autoritario.,,,1,Mediante un gobierno democrático.,"México se constituye como una república democrática, representativa y federal, según su Constitución.",
opcion_unica,¿Cuál es la diferencia entre derecho público y derecho privado?,Derecho,El derecho público es nacional; el privado es internacional.,El derecho público regula solo las relaciones entre particulares; el privado regula las del Estado.,El derecho público se basa en la igualdad de las partes; el privado en la subordinación.,El derecho público regula las relaciones del Estado con los particulares cuando actúa con autoridad; el derecho privado regula las relaciones entre particulares y las del Estado cuando actúa sin imperio.,,,3,El derecho público regula las relaciones del Estado con los particulares cuando actúa con autoridad; el derecho privado regula las relaciones entre particulares y las del Estado cuando actúa sin imperio.,"La distinción radica en la posición de las partes: en el público el Estado actúa con autoridad, en el privado las partes están en igualdad.",
opcion_unica,¿Qué es atribución del Estado?,Derecho,Es la obligación de los ciudadanos de pagar impuestos.,Es la facultad exclusiva del Poder Judicial para interpretar leyes.,Es el conjunto de bienes patrimoniales del Estado.,"Es el contenido de las actividades del Estado, es decir, lo que el Estado puede o debe hacer.",,,3,"Es el contenido de las actividades del Estado, es decir, lo que el Estado puede o debe hacer.",Las atribuciones del Estado comprenden las actividades que legalmente le corresponden realizar.,
opcion_unica,"En la Constitución política de 1857, ¿cómo se le conoce a la atribución del Estado?",Derecho,Neoliberalismo.,Estado de bienestar.,Socialismo democrático.,Liberalismo individualista.,,,3,Liberalismo individualista.,"La Constitución de 1857 refleja el pensamiento liberal individualista, que limitaba la intervención del Estado.",
opcion_unica,¿Qué modelo de intervención estatal se adoptó en la Constitución Política de 1917?,Derecho,Liberalismo clásico,Intervencionismo de Estado,Estado mínimo,Socialismo democrático,,,1,Intervencionismo de Estado,"La Constitución de 1917 estableció un modelo intervencionista, donde el Estado participa activamente en la economía y la sociedad.",
opcion_unica,¿Qué situaciones o actos se regulan por normas especiales del derecho público?,Derecho,Los actos de comercio y las sociedades mercantiles,Los contratos entre particulares y las obligaciones civiles,Las relaciones familiares y sucesorias,"Los agentes públicos, los bienes nacionales, el régimen de impuestos, las expropiaciones, los contratos administrativos y los actos jurídico-administrativos.",,,3,"Los agentes públicos, los bienes nacionales, el régimen de impuestos, las expropiaciones, los contratos administrativos y los actos jurídico-administrativos.","El derecho público regula la organización del Estado y sus relaciones con los particulares cuando actúa con autoridad, como en los casos mencionados.",
opcion_unica,"¿Cómo se agrupan actualmente las atribuciones del Estado, considerando su evolución histórica?",Derecho,"En atribuciones de control, fiscalización y sanción","En atribuciones de mando, policía o coacción; regulación de actividades económicas; creación de servicios públicos; e intervención directa en la vida económica, cultural y existencial del país.","En atribuciones exclusivamente legislativas, ejecutivas y judiciales","En atribuciones federales, estatales y municipales",,,1,"En atribuciones de mando, policía o coacción; regulación de actividades económicas; creación de servicios públicos; e intervención directa en la vida económica, cultural y existencial del país.","Las atribuciones estatales se agrupan en cuatro categorías: mando, regulación económica, servicios públicos e intervención directa.",
opcion_unica,¿Qué es la actividad o función del Estado?,Derecho,La prestación de servicios públicos a la comunidad,"El conjunto de actos materiales y jurídicos, operaciones y tareas que realiza en virtud de las atribuciones que la legislación positiva le otorga.",La administración de los recursos económicos del país,El ejercicio del poder público para mantener el orden social,,,1,"El conjunto de actos materiales y jurídicos, operaciones y tareas que realiza en virtud de las atribuciones que la legislación positiva le otorga.","La actividad del Estado comprende todos los actos y operaciones que realiza conforme a las atribuciones legales, con el fin de alcanzar sus fines.",
opcion_unica,¿En qué consiste la función legislativa?,Derecho,En aplicar las leyes a casos concretos para resolver controversias,En ejecutar las leyes y administrar los recursos públicos,En vigilar el cumplimiento de la Constitución y las leyes,En formular las normas generales que deben reglamentar la estructura del Estado y las relaciones entre el Estado y los ciudadanos.,,,3,En formular las normas generales que deben reglamentar la estructura del Estado y las relaciones entre el Estado y los ciudadanos.,La función legislativa consiste en crear normas generales y abstractas que regulan la organización estatal y las relaciones con los ciudadanos.,
opcion_unica,¿Cuál es el propósito de la función judicial?,Derecho,Tutelar el ordenamiento jurídico definiendo la norma precisa que se aplica en los casos particulares.,Crear leyes que regulen la conducta de los individuos,Administrar los recursos del Estado para el bienestar social,Representar al Estado en sus relaciones internacionales,,,0,Tutelar el ordenamiento jurídico definiendo la norma precisa que se aplica en los casos particulares.,La función judicial busca proteger el orden jurídico al resolver controversias mediante la aplicación de la norma adecuada a cada caso.,
opcion_unica,¿En qué consiste la función administrativa del Estado?,Derecho,"En actuar promoviendo la satisfacción de las necesidades de los ciudadanos, fomentando el bienestar y el progreso de la actividad.",En formular las leyes que rigen la vida social,En resolver conflictos entre particulares aplicando la ley,En representar al Estado en la celebración de tratados internacionales,,,0,"En actuar promoviendo la satisfacción de las necesidades de los ciudadanos, fomentando el bienestar y el progreso de la actividad.",La función administrativa es la actividad concreta del Estado para satisfacer necesidades públicas y promover el bienestar general.,
opcion_unica,¿Qué artículo constitucional establece las facultades y obligaciones del Presidente de la República?,Derecho,El artículo 89 Constitucional,El artículo 73 Constitucional,El artículo 94 Constitucional,El artículo 49 Constitucional,,,0,El artículo 89 Constitucional,El artículo 89 de la Constitución mexicana enumera las facultades y obligaciones del Presidente de la República.,
