Cuestionario,Pregunta,Respuesta
DERECHO ADMINISTRATIVO,Definición de Derecho Administrativo,"Conjunto de normas jurídicas que regulan el funcionamiento del Poder Ejecutivo. Rama del derecho público, regula la actividad del Estado que se realiza en forma de función administrativa."
DERECHO ADMINISTRATIVO,Donde y cuando surge el Derecho Administrativo?,"Surge de Francia en el siglo XIX, surgiendo así los primeros conceptos que son, servicio público y ciencia social."
DERECHO ADMINISTRATIVO,Fuentes del derecho administrativo,La Constitución - Leyes Federales y Locales - Tratados internacionales - Usos y costumbres - Ideas político sociales - Reglamentos administrativos - Jurisprudencia - Doctrina
DERECHO ADMINISTRATIVO,¿Qué regula el derecho administrativo?,"La estructura y organización del Poder Ejecutivo, encargado normalmente de realizar la función administrativa. Los medios patrimoniales y financieros que la administración necesita para su sostenimiento y para garantizar la regularidad de su actuación. El ejercicio de las facultades que el poder público debe realizar bajo la forma de función pública. La situación de los particulares respecto a la administración."
DERECHO ADMINISTRATIVO,¿Qué es Estado de Derecho?,"Aquel cuyo poder se encuentra determinado por preceptos legales, de tal modo que no puede exigir de sus miembros ninguna acción u omisión que no tenga su fundamento en la existencia de una norma jurídica prestablecida."
DERECHO ADMINISTRATIVO,"La actitud del Estado resolviendo casos individuales sin sujeción a las normas generales de derecho, constituye la definición clásica de:",Despotismo
DERECHO ADMINISTRATIVO,"¿Cómo está constituido en nuestro país este estado de derecho, cual es su forma de gobierno?",Mediante un gobierno democrático
DERECHO ADMINISTRATIVO,Diferencia entre derecho público y derecho privado,"Derecho Público: Lo constituyen las normas jurídicas especiales que son las que se otorgan naturalmente en razón de su autoridad. El derecho privado: está constituido por el conjunto de normas que rigen las relaciones entre los particulares y es aplicable a aquellas en que el Estado interviene en los casos en que no siendo necesario el uso de la autoridad, se puede sin ella dar cumplimiento a sus atribuciones."
DERECHO ADMINISTRATIVO,¿Qué es atribución del Estado?,"El concepto de atribuciones comprende el contenido de las actividades del Estado, es lo que el Estado puede o debe hacer."
DERECHO ADMINISTRATIVO,En la Constitución política de 1857 como se le conoce a esta atribución del Estado,Liberalismo Individualista
DERECHO ADMINISTRATIVO,Y en la Constitución Política de 1917,Intervencionismo de Estado
DERECHO ADMINISTRATIVO,¿Qué situaciones o actos se regulan por normas especiales del derecho público?,Los agentes públicos - Los bienes nacionales - El régimen de impuestos - Las expropiaciones - Los contratos administrativos - Los actos jurídico-admvos.
DERECHO ADMINISTRATIVO,"Las atribuciones, históricamente van cambiando, actualmente como se pueden agrupar?","Atribuciones de mando, de policía o de coacción que comprenden todos los actos necesarios para el mantenimiento y protección del Estado, de la seguridad y el orden público. Atribuciones para regular las actividades económicas de los particulares. Atribuciones para crear servicios públicos. Atribuciones para intervenir mediante gestión directa en la vida económica, cultural y existencial del país."
DERECHO ADMINISTRATIVO,¿Qué es la actividad o función del Estado?,"La actividad del Estado es el conjunto de actos materiales y jurídicos, operaciones y tareas que realiza en virtud de las atribuciones que la legislación positiva le otorga. Siendo las atribuciones medios para alcanzar determinados fines."
DERECHO ADMINISTRATIVO,Defina Función legislativa.,Actividad encaminada de formular las normas generales que deben reglamentar - La estructura del Estado. - Las relaciones entre el Estado y los Ciudadanos.
DERECHO ADMINISTRATIVO,Función judicial.,Todo estado debe tener una función encaminada a tutelar el ordenamiento jurídico definiendo la norma precisa que aplican en los casos particulares.
DERECHO ADMINISTRATIVO,Función administrativa,Función esencial del Estado que consiste en actuar promoviendo la satisfacción de las necesidades de los ciudadanos fomentando el bienestar y el progreso de la actividad.
DERECHO ADMINISTRATIVO,¿Qué artículo establece las facultades y obligaciones del Presidente de la República:,El artículo 89 Constitucional
DERECHO ADMINISTRATIVO,¿Qué es y como se constituye el principio de legalidad?,El principio de que ningún órgano del Estado puede realizar actos individuales que no estén previstos en la ley.
DERECHO ADMINISTRATIVO,¿Cuándo se habla de la reserva de la ley?,Cuando es competencia exclusiva del Poder que está encargado de legislar.
DERECHO ADMINISTRATIVO,¿En qué consiste la facultad discrecional?,"Consiste en dar flexibilidad a la ley para adaptarla a circunstancias imprevistas o para permitir que la Administración haga una apreciación técnica de los elementos que concurren en un caso determinado pueda por último, hacer equitativa la aplicación de la ley."
DERECHO ADMINISTRATIVO,¿Qué es Reglamento?,Norma o conjunto de normas jurídicas de carácter absoluto e impersonal que expide el poder ejecutivo en uso de una facultad propia y que tiene por objeto facilitar la exacta observancia de las leyes expedidas por el poder legislativo.
DERECHO ADMINISTRATIVO,¿Qué ley regula y ajusta el aparato administrativo del Estado?,Ley federal de servidores públicos
DERECHO ADMINISTRATIVO,¿Qué artículo constitucional fundamenta esta ley?,Artículo 90 constitucional
DERECHO ADMINISTRATIVO,¿Quién está facultado para organizar la administración pública y que lo faculta?,"La Presidencia de la República, las Secretarías de Estado, los Departamentos Administrativos y la Consejería Jurídica del Ejecutivo Federal, integran la Administración Pública Centralizada."
DERECHO ECONÓMICO,¿Qué es el derecho económico?,"Es el conjunto de principios y normas de diversas jerarquías, que determinan el procedimiento de dirección y realización de la actividad económica y que regulan las relaciones económicas entre los organismos y organizaciones socialistas."
DERECHO ECONÓMICO,¿Por qué encontramos al derecho de la economía en el derecho privado?,Se encuentra en el derecho privado porque regula las conductas entre los particulares donde se limita exclusivamente a vigilar los asuntos entre particulares.
DERECHO ECONÓMICO,¿De qué elementos está integrado el derecho privado?,"Del elemento formal que se refiere a como debe ser la estructura de la norma, y el material que se refiere a cuál es el contenido de la norma (su finalidad)."
DERECHO ECONÓMICO,¿Cuáles son los sujetos del derecho privado?,"Todo aquello que participa en la actividad económica Estado: particulares, empresas y familia."
DERECHO ECONÓMICO,¿Cuáles son las características del derecho económico?,"Humanista, dinámico, complejo, concreto, multidisciplinario e internacional."
DERECHO ECONÓMICO,¿Cuál es la razón de ser humanista el derecho económico?,En razón de que procuran la protección de los sectores más desprotegidos de la sociedad.
DERECHO ECONÓMICO,¿Por qué es complejo el derecho económico?,"Porque sus normas regulan las relaciones económicas, así como las relaciones jurídicas entre estados."
DERECHO ECONÓMICO,¿Por qué es multidisciplinario el derecho económico?,Porque estudia las distintas actividades del proceso económico.
DERECHO ECONÓMICO,¿Cuándo es internacional el derecho económico?,Al momento en que un estado suscribe acuerdos o tratados con otros estados para regular una o varias actividades económicas.
DERECHO ECONÓMICO,¿Cuál es la importancia de la actividad económica?,"Producción, comercialización y consumo estas tratan de producir los bienes y prestar servicios que las personas necesitan o desean."
DERECHO ECONÓMICO,¿Qué es la actividad económica?,Conjunto de actividades destinadas a convertir los bienes de la naturaleza en objetos útiles para el ser humano.
DERECHO ECONÓMICO,¿Cuál es el funcionamiento de la actividad económica?,"Producción, Comercialización y consumo."
DERECHO ECONÓMICO,¿Qué es lo que busca la actividad económica?,Busca la forma más rápida y menos costosa para obtener servicios.
DERECHO ECONÓMICO,¿Cuáles son los factores productivos de la actividad económica?,"Son tres recursos naturales, trabajo y capital."
DERECHO ECONÓMICO,¿Qué es la economía?,"Se marca dentro del grupo de ciencias sociales, ya que se dedica al estudio de los procedimientos productivos y de intercambio, análisis del consumo de bienes y servicios."
DERECHO ECONÓMICO,¿Cómo se clasifica la economía?,"Según su naturaleza, su objeto y funcionamiento."
DERECHO ECONÓMICO,¿Cuál es la importancia de la economía?,"Esta es muy importante ya que permite el desarrollo de los países por que permite saber Qué producir, Cómo producir Y Para quién producir, y con base en ello tener más ganancias y un mayor desarrollo."
DERECHO ECONÓMICO,¿Qué es la macroeconomía y sus objetivos?,"Es la rama de la economía que se encarga de estudiar los sistemas económicos de una región o país como un conjunto, y sus objetivos son el crecimiento económico por medio del producto interno bruto, lograr el pleno empleo y estabilidad en los precios, medidos a través de la inflación."
DERECHO ECONÓMICO,¿Qué es la microeconomía y sus objetivos?,Es el análisis de la actividad económica del comportamiento individual y su objetivo básico es la determinación de los precios de las mercancías y factores que se forman en el mercado.
DERECHO ECONÓMICO,¿Dónde encontramos los inicios del derecho económico?,Los inicios del derecho económico los encontramos en Alemania e Italia.
DERECHO ECONÓMICO,Esta rama del derecho ¿Cuándo nace?,Nace a partir de los desafíos que involucro la 2a guerra mundial para las economías de los países beligerantes.
DERECHO ECONÓMICO,¿Con que fin el estado comenzó a tomar parte de manera organizada?,"Con fines de regulación, control, promoción y desarrollo."
DERECHO ECONÓMICO,¿Cuáles son las fuentes reales de los antecedentes de México en 1917?,"Nacionales grupos de presión internos (empresarios, agricultores, sindicatos etc), extranjeras organismos financieros internacionales (FMI,BM) inversionistas y banqueros, gobiernos extranjeros."
DERECHO ECONÓMICO,¿Qué artículos hablan de los derechos económicos en México?,"Artículo 27 que entrega a la nación el origen de toda propiedad, articulo 5 que reconoce la libertad de trabajo y el principio de la libertad concurrencia con base de una economía privada o de mercado."
DERECHO ECONÓMICO,¿En qué año adquiere relevancia el derecho económico?,El derecho económico en México adquiere relevancia constitucional a partir de la carta de Querétaro en 1917.
DERECHO ECONÓMICO,¿Cuáles son las fases del proceso económico?,"Circulación, distribución, consumo, inversión y producción."
DERECHO ECONÓMICO,¿En que nos benefician estas fases?,En que el consumidor puede satisfacer sus necesidades de compra y consumo.
DERECHO ECONÓMICO,¿Cuáles son las 2 reglas de circulación?,"1a tiene que ser transportado el bien desde el lugar de producción hasta donde están los consumidores, 2o que el bien pase de la propiedad o poder del productor al poder del consumidor."
DERECHO ECONÓMICO,¿Cuáles son los factores de distribución?,"Naturaleza, trabajo, capital, empresa y estado."
DERECHO ECONÓMICO,¿Qué es la inversión?,"Es el financiamiento de un nuevo proceso productivo mediante la adquisición de bienes de capital (herramientas, maquinarias e insumos)."
DERECHO ECONÓMICO,¿Qué se propone la ley de planeación?,"Se propone establecer un marco normativo para la planeación, instituyendo y regulando su ejecución de acuerdo con las necesidades del desarrollo nacional."
DERECHO ECONÓMICO,Explica las disposiciones generales de la ley de planeación.,Se establece que sus disposiciones son de orden público e interés social. Ya que esta declaración tiene como finalidad el que la administración pública pueda actuar con suficiente flexibilidad cuando ello sea necesario y en beneficio general.
DERECHO ECONÓMICO,¿De cuántos capítulos consta la ley de planeación?,La ley está dividida en siete capítulos.
